id,action_time,user,content_type,object_id,object_repr,action_flag,change_message
37,2024-09-26 19:37:25.796833+00:00,y-hashikura,My_Profile | project model,4,test用,1,"[{""added"": {}}]"
36,2024-09-26 19:04:53.359330+00:00,y-hashikura,My_Profile | project model,3,開発支援,2,"[{""changed"": {""fields"": [""\u898f\u6a21"", ""\u8a73\u7d30\u696d\u52d9\u5185\u5bb91"", ""\u8a73\u7d30\u696d\u52d9\u5185\u5bb92"", ""\u8a73\u7d30\u696d\u52d9\u5185\u5bb93""]}}]"
35,2024-09-26 19:03:33.518996+00:00,y-hashikura,My_Profile | project model,3,開発支援,2,"[{""changed"": {""fields"": [""\u898f\u6a21""]}}]"
34,2024-09-26 19:03:26.626665+00:00,y-hashikura,My_Profile | project model,3,開発支援,1,"[{""added"": {}}]"
33,2024-09-26 19:00:52.124704+00:00,y-hashikura,My_Profile | project model,2,アプリ解析,1,"[{""added"": {}}]"
32,2024-09-26 19:00:47.960305+00:00,y-hashikura,My_Profile | position model,6,その他,1,"[{""added"": {}}]"
31,2024-09-26 18:55:40.259418+00:00,y-hashikura,My_Profile | project model,1,レポート取込/自動仕訳ツール,1,"[{""added"": {}}]"
30,2024-09-26 18:50:39.236058+00:00,y-hashikura,My_Profile | skill name model,1,Python,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2"", ""\u8a73\u7d30\u8aac\u660e3""]}}]"
29,2024-09-26 18:49:46.298707+00:00,y-hashikura,My_Profile | skill name model,2,VB.NET,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2""]}}]"
28,2024-09-26 18:49:04.114960+00:00,y-hashikura,My_Profile | skill name model,3,Java,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1""]}}]"
27,2024-09-26 18:48:13.732995+00:00,y-hashikura,My_Profile | skill name model,4,PHP,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1""]}}]"
26,2024-09-26 18:47:12.139609+00:00,y-hashikura,My_Profile | skill name model,5,HTML,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1""]}}]"
25,2024-09-26 18:46:17.260992+00:00,y-hashikura,My_Profile | skill name model,6,CSS,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1""]}}]"
24,2024-09-26 09:25:13.595507+00:00,y-hashikura,My_Profile | skill name model,7,ASP.NET,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2""]}}]"
23,2024-09-26 09:24:29.496987+00:00,y-hashikura,My_Profile | skill name model,9,JavaScript,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2""]}}]"
22,2024-09-26 09:23:45.248497+00:00,y-hashikura,My_Profile | skill name model,10,BootStrap,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2"", ""\u8a73\u7d30\u8aac\u660e3""]}}]"
21,2024-09-26 09:22:53.036356+00:00,y-hashikura,My_Profile | skill name model,11,SPREAD,2,"[{""changed"": {""fields"": [""\u8a73\u7d30\u8aac\u660e1"", ""\u8a73\u7d30\u8aac\u660e2""]}}]"
