id,name,description
1,2014年04月 大原簿記情報ビジネス専門学校 入学,日商簿記二級 合格
2,2014年04月 大原簿記情報ビジネス専門学校 入学,基本情報技術者試験 合格
3,2014年04月 大原簿記情報ビジネス専門学校 入学,応用情報技術者試験 合格
4,2016年04月 株式会社日立ソリューションズ・クリエイト (正社員),業務/WEBアプリケーション開発経験
5,2016年04月 株式会社日立ソリューションズ・クリエイト (正社員),要件定義、設計、実装、テスト、本番切替、運用保守の一気通貫の開発経験
6,2016年04月 株式会社日立ソリューションズ・クリエイト (正社員),"主にVB.NET, ASP.NET, SQLServerで構築されたシステムの開発"
7,2021年10月 株式会社ファーンリッジ・ジャパン (正社員),業務アプリケーション開発
8,2021年10月 株式会社ファーンリッジ・ジャパン (正社員),"フロントエンドの開発(HTML, CSS, JavaScript等)"
9,2021年10月 株式会社ファーンリッジ・ジャパン (正社員),バックエンドの開発(VB.NET)
10,2022年01月 テクノブレイブ株式会社 (フリーランス),"業務アプリケーション開発(VB.NET, SPREAD, SQLServer等)"
11,2022年11月 株式会社ゲオホールディングス (フリーランス),野良アプリ(ACCESS、VBA)のSQL解析/解析仕様書の作成
12,2024年04月 青山綜合会計事務所(フリーランス),Git、Githubを用いたバージョン管理経験(プル、プルリク、プッシュ、コードレビュー等)
13,2024年04月 青山綜合会計事務所(フリーランス),Dockerを用いた仮想化コンテナ技術経験
14,2024年04月 青山綜合会計事務所(フリーランス),"Python, Streamlit, Django, RESTAPIを用いたWEBアプリケーション開発"
15,2024年04月 青山綜合会計事務所(フリーランス),Azure App Serviceを用いたデプロイ、環境設定、githubとの自動デプロイ設定等の経験
